LON;LAT;OBJECTID;CUI;CUEANEXO;CUE;ANEXO;SECTOR;DOM_EDIFIC;DOM_ESTABL;NOMB_EST;NOMB_ABR;TELEFONO;EMAIL;CODPOST;PAGINAWEB;NIVMOD;NIVELMODAL;DEPFUN;DE;COMUNA;BARRIO;AREAPROGRA;ESTADO;POINT_X;POINT_Y;NIVEL;TIPEST
-58.4784363545438;-34.5912662690564;11;200674;20240100;202401;0;1;AVDA. DE LOS CONSTITUYENTES 3100;AVDA. DE LOS CONSTITUYENTES 3100;JARDIN DE INFANTES INTEGRAL N° 04/14;JII 04/14;4521-8026;DEI_JII4_DE14@BUE.EDU.AR;C1427;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;14;15;AGRONOMIA;10 - HOSP TORNU;1;9.861.135.560.000.000;10.421.577.469.999.900;INICIAL COMUN;JII (JARDIN DE INFANTES INTEGRAL)
-58.5019842585195;-34.6607775494006;12;200928;20240200;202402;0;1;AVDA. LISANDRO DE LA TORRE 2288;AVDA. LISANDRO DE LA TORRE 2288;JARDIN DE INFANTES INTEGRAL N° 07/20°;JII 07/20;4686-0248;JII7DE20@GMAIL.COM;C1440;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;20;9;MATADEROS;09 - HOSP SANTOJANNI;1;9.645.408.070.000.000;9.650.404.029.999.990;INICIAL COMUN;JII (JARDIN DE INFANTES INTEGRAL)
-58.3905971334064;-34.5984063340249;13;200057;20240300;202403;0;1;PARAGUAY 1657;PARAGUAY 1657;JARDIN MATERNAL N° 06/01 JARDIN DEL PALACIO;JM 06/01;4815-9239;DEI_JM6_DE1@BUE.EDU.AR;C1062;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;1;2;RECOLETA;04 - HOSP FERNANDEZ;1;10.666.913.930.000.000;10.342.145.419.999.900;INICIAL COMUN;JM (JARDIN MATERNAL)
-58.4246113191213;-34.6016548116584;14;202150;20275500;202755;0;2;HUMAHUACA 4242;HUMAHUACA 4242;JARDIN DE INFANTES LA VACA DE HUMAHUACA;JI LA VACA DE HUMAHUACA;4862-4226;JARDINLAVACADEHUMAHUACA@HOTMAIL.COM;C1192;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM;NIVEL INICIAL COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;2;5;ALMAGRO;03 - HOSP DURAND;1;10.354.881.650.000.000;10.306.279.369.999.900;INICIAL COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.497364203403;-34.6491238226729;15;200631;20240500;202405;0;1;BRAGADO 5350;BRAGADO 5350;CENTRO EDUCATIVO DE NIVEL SECUNDARIO N° 82;CENS 82;4682-0185;DEAA_CENS82_DE13@BUE.EDU.AR;C1440;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/ADULTOS/SECUNDARIA;SECADU;NIVEL SECUNDARIO DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;13;9;MATADEROS;09 - HOSP SANTOJANNI;1;9.687.712.540.000.000;9.779.699.320.000.000;SECUNDARIO DE JOVENES Y ADULTOS;CENS (CENTRO EDUCATIVO DE NIVEL SECUNDARIO)
-58.5066768333949;-34.569254585532;16;200756;20240600;202406;0;1;MEDEYROS 3555;MEDEYROS 3555;CENTRO EDUCATIVO DE NIVEL SECUNDARIO N° 83;CENS 83;4572-4049;DEAA_CENS83_DE16@BUE.EDU.AR;C1431;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/ADULTOS/SECUNDARIA;SECADU;NIVEL SECUNDARIO DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;16;12;VILLA URQUIZA;07 - HOSP PIROVANO;1;9.601.951.700.000.000;10.665.682.810.000.000;SECUNDARIO DE JOVENES Y ADULTOS;CENS (CENTRO EDUCATIVO DE NIVEL SECUNDARIO)
-58.389502672739;-34.6168578111961;17;200123;20206300;202063;0;1;CHILE 1626;CHILE 1626;ESCUELA INFANTIL N° 02/03° MANE BERNARDO;EI 02/03;4381-7261;MANE.BERNARDO@GMAIL.COM;C1100;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;3;1;MONTSERRAT;08 - HOSP RAMOS MEJIA;1;10.676.805.110.000.000;10.137.449.649.999.900;INICIAL COMUN;EI (ESCUELA INFANTIL)
-58.4581715541145;-34.6175391298145;18;202152;20275900;202759;0;2;FELIPE VALLESE 1717;FELIPE VALLESE 1717;ESCUELA INFANTIL PEQUEÑA ALDEA;EI PEQUEÑA ALDEA;4632-7880;PEQUEALDEA@YAHOO.COM.AR;C1406;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM;NIVEL INICIAL COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;7;7;FLORES;01 - HOSP ALVAREZ;1;10.047.031.269.999.900;10.130.134.209.999.900;INICIAL COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4099333582122;-34.6210862925472;19;200334;20049100;200491;0;1;URIBURU 876;URIBURU 876;ESC. PRIMARIA COMUN N° 15 MAESTRO JORGE LUIS CHINETTI;EPJC 15;4931-9843/4932-6210;DEP_EPC15_DE6@BUE.EDU.AR;C1225;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/PRIMARIO?MENU_ID=9760;PRICOM;NIVEL PRIMARIO COMUN;DIR DE EDUCACION PRIMARIA;6;3;SAN CRISTOBAL;08 - HOSP RAMOS MEJIA;1;10.489.407.399.999.900;10.090.658.590.000.000;PRIMARIO COMUN;JC (ESCUELA DE JORNADA COMPLETA)
-58.4720827828095;-34.6654628899305;20;200633;20195300;201953;0;1;AVDA. CASTAÑARES 4689;AVDA. CASTAÑARES 4689;CENTRO EDUCATIVO COMPLEMENTARIO DE EDUCACION PLASTICA N° 13 MARTIN MALHARRO;CEC PLASTICA 13;4601-8010;DEP_CECEP13_DE13@BUE.EDU.AR;C1439;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/PRIMARIO?MENU_ID=9760;OSECOM;OTROS SERVICIOS EDUCATIVOS DE LA MODALIDAD COMUN;DIR DE EDUCACION PRIMARIA;13;8;VILLA LUGANO;06 - HOSP PIÑERO;1;9.919.499.670.000.000;9.598.493.690.000.000;OTROS SERVICIOS EDUCATIVOS;CECEP (CENTRO EDUCATIVO COMPLEMENTARIO DE EDUCACION PLASTICA)
-58.4713394217515;-34.5852096531035;21;200659;20156900;201569;0;1;GIRARDOT 1946;GIRARDOT 1946;JARDIN DE INFANTES NUCLEADO C (EPCJC 03/14°) [SEDE];JIN C (03) (S);4524-2947;JINCDE1405@GMAIL.COM;C1427;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;14;15;VILLA ORTUZAR;10 - HOSP TORNU;1;9.926.236.900.000.000;10.488.773.209.999.900;INICIAL COMUN;JIN (JARDIN DE INFANTES NUCLEADO)
-58.3919019218517;-34.6174975099441;22;200139;20240000;202400;0;1;AVDA. ENTRE RIOS 757;AVDA. ENTRE RIOS 757;ESC. DE EDUCACION MEDIA N° 01/03° E.REINGRESO;EEM 01/03 R;4382-9141;DEM_REING1_DE3@BUE.EDU.AR;C1080;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/SECUNDARIO/CONTACTO?MENU_ID=18231;SECADU;NIVEL SECUNDARIO DE JOVENES Y ADULTOS;DIR DE EDUCACION MEDIA;3;3;BALVANERA;08 - HOSP RAMOS MEJIA;1;10.654.796.219.999.900;10.130.368.949.999.900;SECUNDARIO DE JOVENES Y ADULTOS;ER (ESCUELA DE REINGRESO)
-58.4767417272699;-34.5948813339901;23;200687;20015200;200152;0;1;AVDA. CHORROARIN 305;AVDA. CHORROARIN 305;ESC. DE EDUCACION MEDIA N° 01/14° FEDERICO GARCIA LORCA;EEM 01/14;4521-6567;DEM_EEM1_DE14E@BUE.EDU.AR;C1427;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/SECUNDARIO/CONTACTO?MENU_ID=18231;SECCOM;NIVEL SECUNDARIO COMUN;DIR DE EDUCACION MEDIA;14;15;PATERNAL;10 - HOSP TORNU;1;9.876.687.609.999.990;10.381.476.720.000.000;SECUNDARIO COMUN;EEM (ESCUELA DE EDUCACION MEDIA)
-58.4413805915779;-34.5680369733852;24;201425;20097700;200977;0;2;OLLEROS 2110;OLLEROS 2110;INST. PRIVADO COLEGIO MASTER;I PRIV COL MASTER;4772-2481;MASTERCOLLEGE@MASTERCOLLEGE.ESC.EDU.AR;C1426;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM - SECCOM;NIVEL INICIAL, PRIMARIO Y SECUNDARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;9;14;PALERMO;07 - HOSP PIROVANO;1;10.201.138.660.000.000;10.679.257.330.000.000;INICIAL - PRIMARIO - SECUNDARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4354023028402;-34.5919357163964;25;201431;20185000;201850;0;2;SERRANO 1116;SERRANO 1320;INST. SAN GREGORIO;I SAN GREGORIO;4772-3755 / 4776-3972;INFO@SAINTGREGORYSCHOOL.COM;C1414;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM;NIVEL INICIAL Y PRIMARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;9;15;VILLA CRESPO;03 - HOSP DURAND;1;10.255.926.910.000.000;10.414.128.470.000.000;INICIAL - PRIMARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.471471723972;-34.5506371444019;26;201545;20175600;201756;0;2;AVDA. CRISOLOGO LARRALDE 2767;AVDA. CRISOLOGO LARRALDE 2767;INST. R. P. HANSEN;I R P HANSEN;4702-8630/4703-3051;PRIMARIA@INSTITUTOHANSEN.COM.AR;C1429;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM;NIVEL INICIAL Y PRIMARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;10;12;SAAVEDRA;07 - HOSP PIROVANO;1;9.924.989.760.000.000;10.872.295.150.000.000;INICIAL - PRIMARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4729170759833;-34.6237184832826;27;201805;20039800;200398;0;2;AVDA. NAZCA 750;AVDA. NAZCA 750;ESCUELA INTEGRAL MAIMONIDES;ESC INT MAIMONIDES;4613-7900;PRIMARIAMAIMONIDES@AGUDATDODIM.ORG;C1406;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM;NIVEL INICIAL Y PRIMARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;12;7;FLORES;01 - HOSP ALVAREZ;1;9.911.805.750.000.000;10.061.580.590.000.000;INICIAL - PRIMARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.494145370569;-34.576485268934;28;201676;20118600;201186;0;2;CULLEN 5690;FRANKLIN D. ROOSEVELT 5678;INST. TOMAS DEVOTO;I TOMAS DEVOTO;4571-2019/4573-3897;DEVOTOEGB@FIBERTEL.COM.AR/HOTMAIL.COM;C1431;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM - SECCOM;NIVEL INICIAL, PRIMARIO Y SECUNDARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;16;12;VILLA URQUIZA;07 - HOSP PIROVANO;1;9.716.970.340.000.000;10.585.513.790.000.000;INICIAL - PRIMARIO - SECUNDARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4935434008281;-34.6009406997622;29;201700;20019800;200198;0;2;HELGUERA 3071;HELGUERA 3071;INST. SCHILLER;I SCHILLER;4501-5929/0293;SECUNDARIA@INSTITUTOSCHILLER.EDU.AR;C1417;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM - SECCOM;NIVEL INICIAL, PRIMARIO Y SECUNDARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;17;11;VILLA DEL PARQUE;12 - HOSP ZUBIZARRETA;1;9.722.576.680.000.000;10.314.223.950.000.000;INICIAL - PRIMARIO - SECUNDARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4771952719494;-34.6752826185187;30;201766;20067200;200672;0;2;AQUINO 5654;AQUINO 5654;COLEGIO SAN MARTIN DE LOS ANDES;COL S M DE LOS ANDES;4601-0455/4602-5171;COLEGIO@YAHOO.COM.AR;C1439;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;INICOM - PRICOM - SECCOM;NIVEL INICIAL, PRIMARIO Y SECUNDARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;21;8;VILLA LUGANO;09 - HOSP SANTOJANNI;1;9.872.655.230.000.000;9.489.553.440.000.000;INICIAL - PRIMARIO - SECUNDARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.46293711477;-34.5546719898513;31;201477;20001600;200016;0;2;AVDA. CABILDO 2967;AVDA. CABILDO 2967;ESCUELA ARGENTINA DE PSICOMOTRICIDAD - A.C.E.S;ESC ARG DE PSICOMOTRICIDAD  ACE;4611-7081;ACES.ESCUELA@GMAIL.COM;C1406;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/INDEX.PHP?MENU_ID=19676;SNUCOM;NIVEL SUPERIOR NO UNIVERSITARIO COMUN;DIR GRAL DE EDUCACION DE GESTION PRIVADA;10;13;NUÑEZ;07 - HOSP PIROVANO;1;10.003.324.260.000.000;10.827.539.139.999.900;SUPERIOR NO UNIVERSITARIO COMUN;IEIEO (INSTITUTO EDUCATIVO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.480931094201;-34.6265564767776;32;200612;20159800;201598;0;1;SAN NICOLAS 588;SAN NICOLAS 588;CENTRO EDUCATIVO DE NIVEL PRIMARIO - SEDE SUPERVISION;CENP ACENP;4672-2684;ADU_CENTROS@YAHOO.COM.AR;C1407;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/ADULTOS/PRIMARIA?MENU_ID=12643;PRIADU;NIVEL PRIMARIO DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;12;10;FLORESTA;01 - HOSP ALVAREZ;1;9.838.319.630.000.000;10.030.087.310.000.000;PRIMARIO DE JOVENES Y ADULTOS;CENP (CENTRO EDUCATIVO DE NIVEL PRIMARIO)
-58.4489651481983;-34.6623263611281;33;200863;20184518;201845;18;1;MARTINEZ CASTRO 3061;MARTINEZ CASTRO 3061;CENTRO DE ALFABETIZACION, EDUCACION BASICA Y TRABAJO N° 16;CAEBYT 16;4300-7915;PAEBYT@GMAIL.COM;C1437;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/ADULTOS/PRIMARIA?MENU_ID=12643;PRIADU - OSEADU;NIVEL PRIMARIO DE JOVENES Y ADULTOS - OTROS SERVICIOS EDUCATIVOS DE LA MODALIDAD DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;19;8;VILLA SOLDATI;06 - HOSP PIÑERO;1;10.131.396.320.000.000;9.633.284.010.000.000;PRIMARIO DE JOVENES Y ADULTOS - OTROS SERVICIOS EDUCATIVOS;PAEBYT (PROGRAMA DE ALFABETIZACION, EDUCACION BASICA Y TRABAJO PARA JOVENES Y ADULTOS)
-58.4333952529054;-34.6281508052613;34;202153;20276100;202761;0;2;AVDA. DIRECTORIO 486;AVDA. DIRECTORIO 486;ESCUELA INFANTIL MI PEQUEÑO SOL;EI MI PEQUEÑO SOL;4923-3237;MIPSOL@YAHOO.COM.AR;C1424;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/GESTION_PRIVADA/RIAE.PHP?MENU_ID=23314;INICOM IEA;NIVEL INICIAL COMUN INSTITUTO EDUCATIVO ASISTENCIAL (IEA);GO REGISTRO DE INSTITUTOS EDUCATIVOS ASISTENCIALES;8;7;PARQUE CHACABUCO;03 - HOSP DURAND;1;10.274.222.680.000.000;10.012.376.890.000.000;INICIAL COMUN;RIEA (INSTITUTO EDUCATIVO ASISTENCIAL NO INCORPORADO A LA ENSEÑANZA OFICIAL)
-58.4541523558968;-34.5614216119084;35;200496;20158301;201583;1;1;CUBA 2039;CUBA 2039;JARDIN DE INFANTES COMUN N° 03/10° ANEXO;JIC 03/10 A;4784-2390/4788-8319;JARDIN310@HOTMAIL.COM;C1428;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/INICIAL?MENU_ID=9759;INICOM;NIVEL INICIAL COMUN;DIR DE EDUCACION INICIAL;10;13;BELGRANO;07 - HOSP PIROVANO;1;10.083.944.409.999.900;10.752.660.590.000.000;INICIAL COMUN;JIC (JARDIN DE INFANTES COMUN)
-58.4968766370763;-34.5852403435108;36;200755;20046300;200463;0;1;VALLEJOS 2555;VALLEJOS 2555;ESC. PRIMARIA COMUN N° 17 GREGORIA MATORRAS Y DEL SER DE SAN MARTIN;EPJC 17;4571-2528;ESC17DE16@GMAIL.COM;C1419;HTTP://WWW.BUENOSAIRES.GOB.AR/EDUCACION/ESTUDIANTES/PRIMARIO?MENU_ID=9760;PRICOM;NIVEL PRIMARIO COMUN;DIR DE EDUCACION PRIMARIA;16;12;VILLA PUEYRREDON;12 - HOSP ZUBIZARRETA;1;9.691.942.210.000.000;10.488.383.060.000.000;PRIMARIO COMUN;JC (ESCUELA DE JORNADA COMPLETA)
-58.3854715767526;-34.6007470733945;37;200008;20201000;202010;0;1;TALCAHUANO 680;VIAMONTE 1314;CENTRO EDUCATIVO CURSOS ESPECIALES - SUPERVISION CURSOS ESPECIALES;CECE SUP .CURSOS ESPECIALES;4372-7201;SMEADULTOS@YAHOO.COM.AR;C1053;HTTP://WWW.BUENOSAIRES.GOB.AR/AREAS/EDUCACION/NIVELES/ADULTOS/OFERTA.PHP?MENU_ID=12643;OSEADU;OTROS SERVICIOS EDUCATIVOS DE LA MODALIDAD DE JOVENES Y ADULTOS;DIR DE EDUCACION DEL ADULTO Y DEL ADOLESCENTE;1;1;SAN NICOLAS;08 - HOSP RAMOS MEJIA;1;10.713.911.780.000.000;10.316.144.040.000.000;OTROS SERVICIOS EDUCATIVOS;CECE (CURSOS ESPECIALES EN CENTROS EDUCATIVOS)
